Time, Event
17:47,process 1 install command: C:\OEM\Preload\APP\Firefox\80.0.1\Preload.cmd 
17:47,Return code check: False
17:47,Execute process 1 success
17:47,execute process 2
17:47,process 2 install command: C:\OEM\Preload\APP\Firefox\80.0.1\WorkaroundForFirstBoot.cmd 
17:47,Return code check: False
17:47,Execute process 2 success
17:47,Install Action39 success
17:47,-----------------------------------------
17:47,Install Action40
17:47,Moduel PN: MOD01APPA80060000E
17:47,Moduel Path: c:\oem\preload\app\GOTrust\
17:47,Module Name: GOTrust
17:47,execute process 1
17:47,process 1 install command: c:\oem\preload\app\GOTrust\3.1.20.0\UWP\Install_UWP.cmd 
17:47,Return code check: False
17:47,Execute process 1 success
17:47,execute process 2
17:47,process 2 install command: c:\oem\preload\app\GOTrust\3.1.20.0\Go_Trust_ID_Plugin_Installer\GoTrust ID Plugin Installer.exe  /S
17:47,Return code check: False
17:47,Execute process 2 success
17:47,execute process 3
17:47,process 3 install command: reg import reg_cdf_policy.reg
17:47,Return code check: False
17:47,Execute process 3 success
17:47,Install Action40 success
17:47,-----------------------------------------
17:47,Install Action41
17:47,Moduel PN: MOD01APP650060001F
17:47,Moduel Path: C:\OEM\Preload\APP\UEIPFramework\
17:47,Module Name: User Behavior Tracking Framework
17:47,Delete Action40
17:47,execute process 1
17:47,process 1 install command: C:\OEM\Preload\APP\UEIPFramework\4.00.3114\Setup.cmd Useralaunch
17:48,Return code check: False
17:48,Execute process 1 success
17:48,execute process 2
17:48,process 2 install command: C:\OEM\Preload\APP\UEIPFramework\4.00.3114\UEIPUWP\Install_UWP_RegionAll_forUEIP.cmd 
17:48,Return code check: False
17:48,Execute process 2 success
17:48,execute process 3
17:48,process 3 install command: C:\OEM\Preload\APP\UEIPFramework\4.00.3114\WorkaroundForFirstBoot.cmd 
17:48,Return code check: False
17:48,Execute process 3 success
17:48,Install Action41 success
17:48,-----------------------------------------
17:48,Install Action42
17:48,Moduel PN: MOD01A00QUENZZ0009
17:48,Moduel Path: c:\oem\preload\app\MicrosoftOffice\E0\
17:48,Module Name: Microsoft Office
17:48,execute process 1
17:48,process 1 install command: c:\oem\preload\app\MicrosoftOffice\E0\COPYOfficeLP.cmd 
17:48,Return code check: False
17:48,Execute process 1 success
17:48,Install Action42 success
17:48,-----------------------------------------
17:48,Install Action43
17:48,Moduel PN: MOD01A004B006017:50,Parameter is Normal
17:50,m_enumValidatePara: 0
17:50,iAction = 84
17:50,iPreDone = 45
17:50,-----------------------------------------
17:50,Install Action46
17:50,Moduel PN: MOD01APPAL00600009
17:50,Moduel Path: c:\OEM\Preload\APP\MicrosoftOfficeDeployment\
17:50,Module Name: Microsoft Office Installer
17:50,execute process 1
17:50,process 1 install command: c:\OEM\Preload\APP\MicrosoftOfficeDeployment\setup.cmd 16.0.12527.20482
17:55,Return code check: False
17:55,Execute process 1 success
17:55,Install Action46 success
17:55,Reboot
17:56,Parameter is Normal
17:56,m_enumValidatePara: 0
17:56,iAction = 84
17:56,iPreDone = 46
17:56,-----------------------------------------
17:56,Install Action47
17:56,Moduel PN: MOD01S00JZ00610001
17:56,Moduel Path: C:\OEM\Preload\Modules\MicrosoftYourPhone\
17:56,Module Name: Microsoft KBMicrosoft.YourPhone
17:56,Delete Action46
17:56,execute process 1
17:56,process 1 install command: C:\OEM\Preload\Modules\MicrosoftYourPhone\01_CheckLTE.cmd 
17:56,Return code check: False
17:56,Execute process 1 success
17:56,execute process 2
17:56,process 2 install command: C:\OEM\Preload\Modules\MicrosoftYourPhone\02_Install_20H1.cmd 
17:56,Return code check: False
17:56,Execute process 2 success
17:56,Install Action47 success
17:56,-----------------------------------------
17:56,Install Action48
17:56,Moduel PN: MOD01APPA30060000B
17:56,Moduel Path: c:\OEM\Preload\APP\NortonInternetSecurtiyL3\
17:56,Module Name: Norton Internet Security L3
17:56,Delete Action47
17:56,execute process 1
17:56,process 1 install command: c:\OEM\Preload\APP\NortonInternetSecurtiyL3\OemSetup_silent_NoDesktopIcon.cmd AuditAlaunch 22.20.5.40
17:56,Return code check: False
17:56,Execute process 1 success
17:56,execute process 2
17:56,process 2 install command: c:\OEM\Preload\APP\NortonInternetSecurtiyL3\OemSetup_silent_NoDesktopIcon.cmd UserAlaunch 22.20.5.40
17:57,Return code check: False
17:57,Execute process 2 success
17:57,Install Action48 success
17:57,Reboot
17:58,Parameter is Normal
17:58,m_enumValidatePara: 0
17:58,iAction = 84
17:58,iPreDone = 48
17:58,-----------------------------------------
17:58,Install Action49
17:58,Moduel PN: MOD01APP5Y00600006
17:58,Moduel Path: C:\OEM\PRELOAD\APP\BookingCOMWeblink\
17:58,Module Name: Booking.com Weblink
17:58,Delete Action48
17:58,execute process 1
17:58,process 1 install command: C:\OEM\PRELOAD\APP\BookingCOMWeblink\OemSetup.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,Install Action49 success
17:58,-----------------------------------------
17:58,Install Action50
17:58,Moduel PN: MOD01SET780060000A
17:58,Moduel Path: c:\OEM\Preload\DPOP\OEMResource\
17:58,Module Name: OEM Resource
17:58,Delete Action49
17:58,execute process 1
17:58,process 1 install command: c:\OEM\Preload\DPOP\OEMResource\Wallpaper\Copy.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,Install Action50 success
17:58,-----------------------------------------
17:58,Install Action51
17:58,Moduel PN: MOD01S00EA00600002
17:58,Moduel Path: c:\OEM\preload\DPOP\ResortDriveLetter\
17:58,Module Name: [DPOP] Resort Drive Letter
17:58,execute process 1
17:58,process 1 install command: c:\OEM\preload\DPOP\ResortDriveLetter\switch_ODD_CrdRdr.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,execute process 2
17:58,process 2 install command: c:\OEM\preload\DPOP\ResortDriveLetter\switch_HDD_ODD.cmd 
17:58,Return code check: False
17:58,Execute process 2 success
17:58,Install Action51 success
17:58,-----------------------------------------
17:58,Install Action52
17:58,Moduel PN: MOD01S006M00600003
17:58,Moduel Path: c:\oem\preload\DPOP\MRKFileDetection\
17:58,Module Name: [DPOP] MRK file Detection
17:58,Delete Action51
17:58,execute process 1
17:58,process 1 install command: c:\oem\preload\DPOP\MRKFileDetection\MRKDetection.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,Install Action52 success
17:58,-----------------------------------------
17:58,Install Action53
17:58,Moduel PN: MOD01S00780060001B
17:58,Moduel Path: C:\OEM\Preload\DPOP\PBRResetConfig\
17:58,Module Name: [DPOP] PBR Reset Config
17:58,Delete Action52
17:58,execute process 1
17:58,process 1 install command: C:\OEM\Preload\DPOP\PBRResetConfig\Run.cmd 
17:58,Return code check: False
17:58,Execute process 1 success
17:58,Install Action53 success
